
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
521,Eric Hosmer\hosmeer01,31,SDP,565,.325,107,.313,.126,2.1%,17.5%,8.5%,90.3,47.3%,23.2%,55.7%,14.8%,1.27,19.9%,61.3%,18.9%,0.8,0.6%,6.0
522,Tanner Houck\houckta01,25,BOS,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
523,Adrian Houser\housead01,28,MIL,46,.143,-40,.100,.143,4.4%,65.2%,4.4%,73.4,35.7%,7.1%,42.9%,21.4%,1.20,0.0%,78.6%,21.4%,-0.6,-0.4%,-7.7
524,Spencer Howard\howarsp01,24,TOT,7,.357,124,.667,.167,0.0%,42.9%,0.0%,74.2,25.0%,25.0%,50.0%,0.0%,2.00,0.0%,25.0%,75.0%,-0.1,0.0%,-0.6
525,Spencer Howard\howarsp01,24,PHI,7,.357,124,.667,.167,0.0%,42.9%,0.0%,74.2,25.0%,25.0%,50.0%,0.0%,2.00,0.0%,25.0%,75.0%,-0.1,0.0%,-0.6
526,Jared Hoying\hoyinja01,32,TOR,3,.000,-130,.000,.000,0.0%,33.3%,0.0%,83.7,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,-0.1,0.0%,-1.1
527,Dakota Hudson\hudsoda02,26,STL,4,.374,138,1.000,.000,0.0%,50.0%,25.0%,66.3,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1
528,Tommy Hunter\hunteto02,34,NYM,1,.899,508,1.000,.000,0.0%,0.0%,0.0%,99.7,100.0%,100.0%,0.0%,0.0%,0.00,100.0%,0.0%,0.0%,0.0,0.0%,0.3
529,Scott Hurst\hurstsc01,25,STL,5,.000,-127,.000,.000,0.0%,20.0%,0.0%,82.4,0.0%,50.0%,0.0%,50.0%,0.00,0.0%,75.0%,25.0%,0.0,0.0%,-1.1
530,Drew Hutchison\hutchdr01,30,DET,1,.000,-124,.000,.000,0.0%,0.0%,0.0%,77.7,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1
531,Andy Ibáñez\ibanean01,28,TEX,272,.330,108,.297,.158,2.6%,12.9%,5.5%,88.5,38.8%,22.3%,37.7%,31.8%,0.61,25.0%,58.6%,16.4%,0.5,-0.1%,4.1
532,José Iglesias\iglesjo01,31,TOT,511,.303,86,.305,.120,1.8%,14.7%,4.1%,85.4,28.9%,29.3%,42.1%,22.2%,0.73,23.7%,60.6%,15.6%,-1.2,-0.2%,-16.0
533,José Iglesias\iglesjo01,31,LAA,447,.291,78,.291,.116,1.8%,14.8%,4.0%,85.8,30.4%,28.7%,42.9%,23.1%,0.75,24.0%,61.3%,14.8%,-1.6,-0.6%,-19.1
534,José Iglesias\iglesjo01,31,BOS,64,.389,141,.408,.153,1.6%,14.1%,4.7%,82.0,18.0%,34.0%,36.0%,16.0%,0.56,22.0%,56.0%,22.0%,0.4,0.4%,3.1
535,Ender Inciarte\inciaen01,30,ATL,89,.265,44,.268,.101,2.3%,24.7%,7.9%,81.4,15.0%,18.3%,45.0%,21.7%,0.90,23.3%,60.0%,16.7%,-1.1,-0.6%,-6.4
536,Jonathan India\indiajo01,24,CIN,631,.377,121,.326,.190,3.3%,22.4%,11.3%,87.5,38.6%,22.7%,44.7%,26.3%,0.81,37.4%,51.8%,10.9%,1.6,1.3%,22.8
537,Cole Irvin\irvinco01,27,OAK,7,.357,144,.333,.000,0.0%,28.6%,0.0%,67.1,0.0%,20.0%,40.0%,0.0%,2.00,40.0%,60.0%,0.0%,0.0,0.0%,-0.1
538,Kyle Isbel\isbelky01,24,KCR,83,.345,110,.385,.158,1.2%,27.7%,8.4%,85.4,30.2%,26.4%,34.0%,22.6%,0.55,32.1%,41.5%,26.4%,0.0,-0.1%,-0.3
539,Alex Jackson\jacksal02,25,TOT,151,.235,31,.273,.099,2.0%,48.3%,8.6%,89.6,41.4%,25.9%,34.5%,29.3%,0.53,36.2%,53.4%,10.3%,-1.2,-0.2%,-10.6
540,Alex Jackson\jacksal02,25,ATL,28,.173,-21,.100,.000,0.0%,46.4%,7.1%,92.8,40.0%,10.0%,60.0%,30.0%,1.50,40.0%,60.0%,0.0%,-0.3,-0.2%,-2.5
541,Alex Jackson\jacksal02,25,MIA,123,.248,43,.311,.120,2.4%,48.8%,8.9%,88.9,41.7%,29.2%,29.2%,29.2%,0.41,35.4%,52.1%,12.5%,-0.9,0.0%,-8.1
542,Andre Jackson\jacksan01,25,LAD,4,.000,-134,.000,.000,0.0%,75.0%,0.0%,80.4,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.7
543,Jay Jackson\jacksja01,33,SFG,1,.000,-132,.000,.000,0.0%,0.0%,0.0%,48.0,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
544,Travis Jankowski\jankotr01,30,PHI,157,.337,101,.317,.099,0.6%,18.5%,14.0%,81.4,20.2%,24.0%,45.2%,19.2%,0.98,21.2%,54.8%,24.0%,0.1,-0.2%,4.9
545,Danny Jansen\janseda01,26,TOR,205,.335,107,.233,.250,5.4%,21.5%,8.3%,89.6,45.3%,29.8%,30.5%,24.8%,0.44,40.4%,47.5%,12.1%,-0.1,0.1%,-1.6
546,Kenley Jansen\janseke01,33,LAD,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
547,Griffin Jax\jaxgr01,26,MIN,3,.000,-123,.000,.000,0.0%,66.7%,0.0%,82.7,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,-0.1,0.0%,-1.2
548,Jon Jay\jayjo02,36,LAA,14,.298,83,.417,.000,0.0%,14.3%,0.0%,83.2,8.3%,8.3%,83.3%,8.3%,5.00,33.3%,41.7%,25.0%,-0.3,-0.2%,-0.6
549,Ryan Jeffers\jeffery01,24,MIN,293,.292,84,.269,.202,4.8%,36.9%,7.5%,89.2,44.0%,20.1%,43.4%,28.9%,0.77,27.7%,56.0%,16.4%,-1.4,-0.4%,-5.8
550,Jake Jewell\jewelja01,28,CHC,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
551,Eloy Jiménez\jimenel02,24,CHW,231,.331,107,.293,.188,4.3%,24.7%,6.9%,90.5,45.8%,23.6%,48.4%,22.9%,0.94,24.8%,53.5%,21.7%,0.4,0.3%,4.1
552,Connor Joe\joeco01,28,COL,211,.378,124,.323,.184,3.8%,19.4%,12.3%,88.2,39.0%,29.8%,33.3%,27.7%,0.50,29.1%,48.9%,22.0%,1.3,0.1%,16.2
553,Daniel Johnson\johnsda07,25,CLE,81,.276,65,.283,.156,4.9%,33.3%,4.9%,89.3,44.0%,26.0%,28.0%,34.0%,0.39,36.0%,48.0%,16.0%,-0.2,-0.1%,-4.2
554,JaCoby Jones\jonesja07,29,DET,105,.216,32,.268,.080,1.9%,40.0%,4.8%,89.4,36.2%,31.0%,44.8%,20.7%,0.81,29.3%,51.7%,19.0%,-0.7,-0.4%,-7.4
555,Jahmai Jones\jonesja08,23,BAL,72,.200,12,.244,.045,0.0%,36.1%,5.6%,86.2,26.8%,22.0%,36.6%,26.8%,0.60,22.0%,53.7%,24.4%,-0.9,0.0%,-10.3
556,Nate Jones\jonesna01,35,TOT,1,.000,-134,.000,.000,0.0%,0.0%,0.0%,69.2,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1
557,Nate Jones\jonesna01,35,LAD,1,.000,-134,.000,.000,0.0%,0.0%,0.0%,69.2,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1
558,Taylor Jones\jonesta01,27,HOU,108,.283,72,.315,.157,1.9%,26.9%,3.7%,90.6,43.2%,21.3%,49.3%,22.7%,0.97,29.3%,49.3%,21.3%,-0.5,-0.4%,-4.7
559,Matt Joyce\joycema01,36,PHI,69,.219,20,.079,.127,2.9%,23.2%,17.4%,85.7,27.5%,12.5%,50.0%,30.0%,1.00,30.0%,65.0%,5.0%,-0.6,-0.4%,-4.7
560,Aaron Judge\judgeaa01,29,NYY,633,.392,149,.332,.256,6.2%,25.0%,11.9%,95.8,58.4%,27.2%,42.1%,28.0%,0.73,25.9%,53.1%,20.9%,4.4,3.7%,37.7
561,Jakob Junis\junisja01,28,KCR,2,.000,-360,,.000,0.0%,50.0%,0.0%,46.4,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
562,James Kaprielian\kaprija01,27,OAK,4,.297,85,1.000,.000,0.0%,50.0%,0.0%,76.0,50.0%,50.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.5
563,Sean Kazmar Jr.\kazmase01,36,ATL,2,.000,-140,.000,.000,0.0%,0.0%,0.0%,77.1,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.7
564,Scott Kazmir\kazmisc01,37,SFG,4,.000,-210,.000,.000,0.0%,50.0%,0.0%,48.2,0.0%,0.0%,50.0%,0.0%,,50.0%,50.0%,0.0%,-0.1,-0.1%,-1.2
565,Jarred Kelenic\kelenja01,21,SEA,377,.267,67,.216,.169,3.7%,28.1%,9.6%,87.3,39.4%,18.5%,43.5%,31.5%,0.78,30.6%,53.4%,15.9%,-0.2,-0.3%,-14.6
566,Brad Keller\kellebr01,25,KCR,7,.000,-222,.000,.000,0.0%,42.9%,0.0%,53.1,0.0%,0.0%,25.0%,25.0%,1.00,0.0%,25.0%,75.0%,-0.2,0.0%,-1.9
567,Mitch Keller\kellemi03,25,PIT,32,.133,-46,.214,.000,0.0%,43.8%,6.3%,76.7,31.3%,18.8%,62.5%,0.0%,3.33,25.0%,31.3%,43.8%,-0.5,-0.1%,-5.8
568,Carson Kelly\kellyca02,26,ARI,359,.339,109,.270,.171,3.6%,20.6%,12.3%,88.2,34.0%,26.4%,31.9%,32.8%,0.47,28.9%,48.9%,22.1%,-1.0,0.6%,2.4
569,Joe Kelly\kellyjo05,33,LAD,3,.000,-134,.000,.000,0.0%,0.0%,0.0%,79.1,33.3%,0.0%,100.0%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-0.6
570,Merrill Kelly\kellyme01,32,ARI,58,.112,-72,.150,.021,0.0%,46.6%,6.9%,63.2,14.8%,7.4%,51.9%,3.7%,2.80,18.5%,55.6%,25.9%,-1.2,-0.2%,-13.7
571,Tony Kemp\kempto01,29,OAK,397,.359,131,.304,.139,2.0%,12.9%,13.1%,85.0,22.0%,25.3%,34.4%,30.6%,0.56,31.9%,56.6%,11.5%,0.6,0.1%,13.9
572,Max Kepler\keplema01,28,MIN,490,.317,98,.225,.202,3.9%,19.6%,11.0%,89.8,42.5%,24.9%,37.7%,28.1%,0.61,32.3%,54.8%,12.9%,0.0,-0.1%,-0.6
573,Clayton Kershaw\kershcl01,33,LAD,39,.232,27,.320,.000,0.0%,28.2%,2.6%,74.8,14.8%,29.6%,55.6%,3.7%,1.67,25.9%,55.6%,18.5%,-0.3,-0.2%,-3.4
574,Dallas Keuchel\keuchda01,33,CHW,2,.000,-126,.000,.000,0.0%,50.0%,0.0%,77.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
575,Carter Kieboom\kieboca01,23,WSN,249,.280,72,.258,.111,2.4%,24.9%,10.0%,85.3,36.3%,24.8%,49.0%,21.0%,0.96,24.2%,62.4%,13.4%,-3.1,-0.1%,-20.5
576,Kevin Kiermaier\kiermke01,31,TBR,390,.313,103,.345,.129,1.0%,25.4%,8.5%,86.4,36.5%,23.7%,55.7%,16.6%,1.27,25.7%,59.7%,14.6%,-0.1,-0.2%,5.8
577,Yusei Kikuchi\kikucyu01,30,SEA,2,.000,-123,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
578,Ha-Seong Kim\kimha01,25,SDP,298,.280,71,.241,.150,2.7%,23.8%,7.4%,85.8,31.8%,23.9%,40.8%,21.4%,0.71,33.8%,56.7%,9.5%,-1.3,-0.6%,-9.9
579,Kwang Hyun Kim\kimkw01,32,STL,29,.199,8,.176,.038,0.0%,31.0%,0.0%,68.3,10.5%,10.5%,57.9%,10.5%,2.75,10.5%,57.9%,31.6%,0.0,-0.1%,-0.4
580,Craig Kimbrel\kimbrcr01,33,TOT,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
581,Craig Kimbrel\kimbrcr01,33,CHC,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
582,Isiah Kiner-Falefa\kineris01,26,TEX,677,.306,88,.304,.087,1.2%,13.3%,4.1%,85.4,28.9%,25.9%,54.2%,15.5%,1.19,24.3%,53.3%,22.4%,-0.5,0.2%,-3.4
583,John King\kingjo01,26,TEX,1,.000,-125,.000,.000,0.0%,0.0%,0.0%,30.9,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
584,Scott Kingery\kingesc01,27,PHI,19,.047,-99,.143,.000,0.0%,63.2%,0.0%,72.5,0.0%,14.3%,28.6%,57.1%,0.40,42.9%,28.6%,28.6%,-0.4,-0.3%,-4.2
585,Alex Kirilloff\kirilal01,23,MIN,231,.315,100,.295,.172,3.5%,22.5%,6.1%,91.0,43.9%,25.6%,48.8%,24.4%,0.95,28.0%,59.8%,12.2%,-0.6,-0.1%,-0.6
586,Alejandro Kirk\kirkal01,22,TOR,189,.343,112,.234,.194,4.2%,11.6%,10.1%,92.3,46.9%,26.2%,40.7%,26.9%,0.69,25.5%,57.2%,17.2%,0.1,-0.1%,1.6
587,Patrick Kivlehan\kivlepa01,31,SDP,8,.377,143,.500,.000,0.0%,37.5%,25.0%,101.7,100.0%,0.0%,50.0%,50.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,1.2
588,Corey Kluber\klubeco01,35,NYY,2,.000,-127,.000,.000,0.0%,50.0%,0.0%,64.9,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3
589,Andrew Knapp\knappan01,29,PHI,159,.200,9,.241,.062,1.3%,38.4%,6.3%,81.8,31.4%,18.6%,38.4%,30.2%,0.72,30.2%,54.7%,15.1%,-0.8,-0.6%,-14.3
590,Corey Knebel\knebeco01,29,LAD,2,.000,-134,.000,.000,0.0%,0.0%,0.0%,90.5,0.0%,0.0%,100.0%,0.0%,,0.0%,50.0%,50.0%,0.0,0.0%,-0.5
591,Reiss Knehr\knehrre01,24,SDP,8,.000,-124,.000,.000,0.0%,62.5%,0.0%,62.0,0.0%,0.0%,33.3%,33.3%,1.00,33.3%,66.7%,0.0%,-0.2,-0.1%,-2.8
592,Andrew Knizner\kniznan01,26,STL,185,.241,43,.223,.062,0.5%,21.1%,10.8%,87.5,36.9%,20.5%,51.6%,18.9%,1.07,16.4%,60.7%,23.0%,-1.0,-0.6%,-14.9
593,Michael Kopech\kopecmi01,25,CHW,1,.000,-126,.000,.000,0.0%,0.0%,0.0%,80.4,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2
594,Pete Kozma\kozmape01,33,OAK,12,.207,25,.143,.000,0.0%,33.3%,8.3%,84.0,28.6%,14.3%,42.9%,28.6%,0.75,14.3%,57.1%,28.6%,-0.1,0.0%,-0.4
595,Max Kranick\kranima01,23,PIT,14,.000,-170,.000,.000,0.0%,35.7%,0.0%,68.6,0.0%,0.0%,77.8%,0.0%,,0.0%,66.7%,33.3%,-0.3,0.0%,-3.5
596,Chad Kuhl\kuhlch01,28,PIT,24,.072,-96,.100,.000,0.0%,45.8%,4.2%,66.5,33.3%,8.3%,58.3%,0.0%,7.00,33.3%,33.3%,33.3%,-0.6,-0.1%,-7.1
597,Tommy La Stella\lasteto01,32,SFG,242,.317,92,.255,.155,2.9%,10.7%,7.4%,88.6,33.3%,24.1%,43.6%,26.7%,0.78,35.4%,55.4%,9.2%,1.1,0.6%,2.5
598,Tyler Ladendorf\ladenty01,33,CHC,1,.000,-134,.000,.000,0.0%,0.0%,0.0%,90.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
599,Juan Lagares\lagarju01,32,LAA,327,.269,64,.294,.136,1.8%,23.2%,3.7%,87.8,43.0%,27.3%,42.9%,20.2%,0.81,26.1%,54.2%,19.7%,-0.5,-0.3%,-13.0
600,Ryan LaMarre\lamarry01,32,NYY,24,.333,101,.154,.286,8.3%,25.0%,8.3%,83.7,26.7%,0.0%,60.0%,33.3%,1.50,20.0%,46.7%,33.3%,0.0,0.0%,-0.2
601,Jake Lamb\lambja01,30,TOT,170,.312,93,.239,.174,4.1%,30.0%,12.9%,90.0,44.2%,22.1%,40.0%,25.3%,0.68,42.1%,49.5%,8.4%,-0.4,-0.2%,-6.6
602,Jake Lamb\lambja01,30,CHW,131,.325,103,.261,.177,4.6%,29.0%,13.0%,90.6,44.0%,22.7%,42.7%,22.7%,0.74,44.0%,45.3%,10.7%,-0.2,0.1%,-4.5
603,Jake Lamb\lambja01,30,TOR,39,.267,58,.158,.161,2.6%,33.3%,12.8%,87.9,45.0%,20.0%,30.0%,35.0%,0.46,35.0%,65.0%,0.0%,-0.2,-0.2%,-2.1
604,Peter Lambert\lambepe01,24,COL,2,.000,-143,.000,.000,0.0%,50.0%,0.0%,95.1,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
605,Dinelson Lamet\lametdi01,28,SDP,7,.099,-54,,.000,0.0%,85.7%,14.3%,,,,,,,,,,-0.1,-0.1%,-1.3
606,Trevor Larnach\larnatr01,24,MIN,301,.304,91,.338,.127,2.3%,34.6%,10.3%,90.0,41.1%,25.9%,45.6%,24.7%,0.84,32.3%,45.6%,22.2%,-2.2,-0.2%,-11.2
607,Eric Lauer\lauerer01,26,MIL,37,.236,19,.273,.115,2.7%,40.5%,8.1%,65.8,23.5%,5.6%,27.8%,22.2%,1.00,22.2%,50.0%,27.8%,-0.2,-0.1%,-3.5
608,Ramon Laureano\laurera01,26,OAK,378,.330,111,.304,.196,3.7%,25.9%,7.1%,88.0,40.5%,22.1%,44.3%,28.3%,0.79,32.8%,50.8%,16.4%,1.5,0.9%,3.7
609,Ryan Lavarnway\lavarry01,33,CLE,30,.274,65,.389,.107,0.0%,33.3%,3.3%,83.2,21.1%,26.3%,36.8%,15.8%,0.64,42.1%,42.1%,15.8%,-0.3,-0.1%,-1.9
610,Wade LeBlanc\leblawa01,36,TOT,13,.000,-168,.000,.000,0.0%,23.1%,0.0%,68.3,0.0%,0.0%,60.0%,0.0%,3.00,30.0%,50.0%,20.0%,-0.3,-0.1%,-2.9
611,Wade LeBlanc\leblawa01,36,STL,13,.000,-168,.000,.000,0.0%,23.1%,0.0%,68.3,0.0%,0.0%,60.0%,0.0%,3.00,30.0%,50.0%,20.0%,-0.3,-0.1%,-2.9
612,Khalil Lee\leekh01,23,NYM,18,.069,-79,.200,.056,0.0%,72.2%,0.0%,89.5,60.0%,20.0%,60.0%,20.0%,1.50,40.0%,20.0%,40.0%,-0.1,-0.1%,-3.2
613,DJ LeMahieu\lemahdj01,32,NYY,679,.317,97,.301,.094,1.5%,13.8%,10.8%,90.6,43.6%,27.2%,51.6%,18.3%,1.07,15.2%,57.9%,27.0%,0.0,-0.4%,-3.1
614,Sandy Leon\leonsa01,32,MIA,220,.231,30,.244,.084,1.8%,29.6%,5.5%,86.1,26.4%,18.6%,37.9%,33.6%,0.63,33.6%,49.3%,17.1%,-2.4,-0.7%,-20.4
615,Jon Lester\lestejo01,37,TOT,51,.208,19,.304,.104,2.0%,47.1%,3.9%,81.5,40.0%,24.0%,48.0%,12.0%,1.09,12.0%,76.0%,12.0%,-0.7,-0.3%,-6.1
616,Jon Lester\lestejo01,37,WSN,29,.200,12,.286,.107,3.5%,44.8%,0.0%,81.4,37.5%,25.0%,37.5%,18.8%,0.75,12.5%,68.8%,18.8%,-0.4,-0.2%,-3.0
617,Jon Lester\lestejo01,37,STL,22,.217,27,.333,.100,0.0%,50.0%,9.1%,81.8,44.4%,22.2%,66.7%,0.0%,2.00,11.1%,88.9%,0.0%,-0.3,-0.1%,-3.1
618,Kyle Lewis\lewisky01,25,SEA,147,.327,105,.307,.146,3.4%,25.2%,10.9%,89.7,37.6%,26.9%,33.3%,34.4%,0.50,32.3%,41.9%,25.8%,-0.4,-0.3%,-1.0
619,Domingo Leyba\leybado01,25,TOT,96,.181,0,.143,.046,1.0%,24.0%,8.3%,80.9,15.6%,23.4%,39.1%,28.1%,0.64,26.6%,59.4%,14.1%,-1.5,-0.2%,-13.3
620,Domingo Leyba\leybado01,25,ARI,24,.058,-90,.000,.000,0.0%,29.2%,8.3%,80.2,20.0%,6.7%,60.0%,26.7%,1.50,26.7%,60.0%,13.3%,-0.9,-0.2%,-7.2
621,Domingo Leyba\leybado01,25,BAL,72,.223,30,.188,.062,1.4%,22.2%,8.3%,81.1,14.3%,28.6%,32.7%,28.6%,0.48,26.5%,59.2%,14.3%,-0.6,0.0%,-6.1
622,Josh Lindblom\lindbjo01,34,MIL,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
623,Francisco Lindor\lindofr01,27,NYM,524,.325,101,.248,.181,3.8%,18.3%,11.1%,89.1,44.2%,21.9%,38.9%,29.9%,0.67,31.2%,52.9%,15.9%,-0.1,0.5%,13.8
624,Zack Littell\litteza01,25,SFG,4,.225,27,1.000,.000,0.0%,75.0%,0.0%,97.2,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.6
625,Jose Lobaton\lobatjo01,36,CHC,13,.107,-58,.000,.000,0.0%,38.5%,15.4%,90.4,50.0%,16.7%,66.7%,16.7%,2.00,33.3%,33.3%,33.3%,-0.1,-0.1%,-1.8
626,Tim Locastro\locasti01,28,TOT,156,.240,41,.219,.072,1.3%,21.2%,4.5%,81.2,16.8%,18.7%,42.1%,30.8%,0.75,25.5%,53.8%,20.8%,-0.7,-0.2%,-13.1
627,Tim Locastro\locasti01,28,ARI,133,.236,38,.220,.042,0.8%,19.6%,4.5%,81.0,16.3%,19.6%,41.3%,30.4%,0.73,23.1%,56.0%,20.9%,-0.6,-0.1%,-10.5
628,Tim Locastro\locasti01,28,NYY,23,.262,58,.214,.238,4.4%,30.4%,4.4%,82.4,20.0%,13.3%,46.7%,33.3%,0.88,40.0%,40.0%,20.0%,-0.1,-0.1%,-2.5
629,Sam Long\longsa01,25,SFG,11,.090,-85,.167,.000,0.0%,36.4%,0.0%,72.8,14.3%,28.6%,57.1%,0.0%,2.00,0.0%,85.7%,14.3%,-0.1,-0.1%,-2.3
630,Shed Long Jr.\longsh01,25,SEA,121,.277,71,.265,.162,3.3%,32.2%,7.4%,86.3,35.6%,16.4%,61.6%,17.8%,1.73,26.0%,56.2%,17.8%,0.2,0.0%,-4.2
631,Evan Longoria\longoev01,35,SFG,291,.368,130,.305,.221,4.5%,23.4%,12.0%,94.1,54.5%,21.9%,41.2%,31.6%,0.70,26.2%,55.1%,18.7%,-0.1,-0.2%,9.7
632,Tim Lopes\lopesti01,27,MIL,11,.099,-32,.167,.000,0.0%,36.4%,9.1%,94.7,66.7%,33.3%,16.7%,33.3%,0.20,0.0%,66.7%,33.3%,-0.3,-0.2%,-1.7
633,Alejo Lopez\lopezal03,25,CIN,23,.230,19,.333,.000,0.0%,21.7%,0.0%,84.8,16.7%,22.2%,61.1%,16.7%,1.57,27.8%,61.1%,11.1%,-0.6,-0.5%,-4.2
634,Jack Lopez\lopezja03,28,BOS,16,.225,15,.286,.154,0.0%,37.5%,6.3%,74.0,11.1%,33.3%,22.2%,22.2%,0.40,22.2%,44.4%,33.3%,0.0,0.1%,-1.5
635,Jorge Lopez\lopezjo02,28,BAL,2,.000,-127,.000,.000,0.0%,50.0%,0.0%,75.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.5
636,Nicky Lopez\lopezni01,26,KCR,565,.339,103,.347,.078,0.4%,13.1%,8.7%,84.3,27.0%,22.1%,53.2%,16.9%,1.27,22.9%,57.7%,19.5%,1.2,-0.3%,8.1
637,Otto Lopez\lopezot01,22,TOR,1,.000,-130,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
638,Pablo Lopez\lopezpa01,25,MIA,35,.103,-70,.125,.061,0.0%,48.6%,0.0%,71.2,22.2%,22.2%,50.0%,11.1%,1.50,11.1%,77.8%,11.1%,-0.8,-0.4%,-9.1
639,Michael Lorenzen\lorenmi01,29,CIN,1,.000,-144,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
640,Brandon Lowe\lowebr01,26,TBR,615,.366,139,.280,.277,6.3%,27.2%,11.1%,89.0,43.1%,24.8%,34.0%,33.2%,0.52,34.2%,46.6%,19.1%,3.2,1.9%,38.9
641,Josh Lowe\lowejo01,23,TBR,2,.864,409,1.000,.000,0.0%,0.0%,50.0%,43.3,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.1,0.0%,0.8
642,Nathaniel Lowe\lowena01,25,TEX,642,.344,116,.339,.151,2.8%,25.2%,12.5%,90.8,45.5%,20.9%,54.5%,23.4%,1.20,18.1%,57.4%,24.4%,1.5,0.3%,16.3
643,Jed Lowrie\lowrije01,37,OAK,512,.318,103,.289,.153,2.7%,21.1%,9.6%,90.7,45.8%,24.9%,36.8%,32.6%,0.58,30.9%,52.7%,16.4%,1.8,1.4%,9.1
644,Joey Lucchesi\lucchjo01,28,NYM,11,.063,-83,.000,.000,0.0%,63.6%,9.1%,64.7,33.3%,0.0%,100.0%,0.0%,,0.0%,66.7%,33.3%,-0.2,-0.2%,-2.0
645,Jonathan Lucroy\lucrojo01,35,TOT,23,.351,118,.400,.053,0.0%,17.4%,13.0%,88.4,43.8%,25.0%,37.5%,18.8%,0.67,43.8%,37.5%,18.8%,-0.2,-0.1%,0.6
646,Jonathan Lucroy\lucrojo01,35,WSN,14,.339,113,.417,.071,0.0%,14.3%,0.0%,92.8,50.0%,33.3%,41.7%,16.7%,0.71,50.0%,33.3%,16.7%,-0.2,-0.1%,0.1
647,Jonathan Lucroy\lucrojo01,35,ATL,9,.373,128,.333,.000,0.0%,22.2%,33.3%,75.1,25.0%,0.0%,25.0%,25.0%,0.50,25.0%,50.0%,25.0%,0.0,0.0%,0.5
648,Seth Lugo\lugose01,31,NYM,1,.902,511,.000,.000,0.0%,0.0%,0.0%,22.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
649,Jordan Luplow\luplojo01,27,TOT,193,.339,118,.232,.252,5.7%,29.5%,14.5%,86.4,32.1%,14.2%,32.1%,39.6%,0.48,31.1%,52.8%,16.0%,0.4,0.2%,5.9
650,Jordan Luplow\luplojo01,27,CLE,121,.332,113,.167,.265,5.8%,25.6%,17.4%,87.3,34.3%,11.9%,31.3%,44.8%,0.47,28.4%,55.2%,16.4%,0.2,0.1%,5.4
